coreid,url,species,family,genus
61d3ede4-f2d5-4b94-830f-c42439a30eac,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00603692_Eristalinus_aeneus_hef.jpg,Eristalinus_aeneus,Syrphidae,Eristalinus
0e70b8f3-aa4a-493c-86da-04f53f2f5420,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00001234_Macrocera_clara_hef.jpg,Macrocera_clara,Mycetophilidae,Macrocera
c2e481bf-d1ce-40db-a2ba-3712cbb8d2f7,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00012625_Bolbomyia_nana_hef.jpg,Bolbomyia_nana,Rhagionidae,Bolbomyia
9a9c5f03-ad40-4692-a46e-422c1fc6749f,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00001216_Syntemna_polyzona_hef.jpg,Syntemna_polyzona,Mycetophilidae,Syntemna
0654b3fe-32dd-4a29-a9bf-fef8ed70cfe2,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00012683_Triodites_mus_hef.jpg,Triodites_mus,Bombyliidae,Triodites
bc05bbc5-646f-4607-88c8-20778817fa0d,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00007668_Blera_confusa_hef.jpg,Blera_confusa,Syrphidae,Blera
1c31def8-2909-4679-9bf0-75fabeeb81ba,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00012886_Asyndetus_appendiculatus_hef.jpg,Asyndetus_appendiculatus,Dolichopodidae,Asyndetus
cf393a15-7c13-463f-9918-5e1d8ae66cfb,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00023784_Baccha_cubana_hef.jpg,Baccha_cubana,Syrphidae,Baccha
6ecdec1f-acbc-4e0b-b216-dae056bd4dec,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00012653_Anthrax_proboscidea_hef.jpg,Anthrax_proboscidea,Bombyliidae,Anthrax
1ce23986-3df9-4b3e-bfe1-17fe684aca11,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00603800_Epistrophe_emarginata_hef.jpg,Epistrophe_emarginata,Syrphidae,Epistrophe
ebb4c86b-2756-4f25-ad7d-daeb445bdbd9,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00012672_Anthrax_adusta_hef.jpg,Anthrax_adusta,Bombyliidae,Anthrax
dca06c24-58db-4337-8048-76cfb7a17bae,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00029783_Cydistomyia_abavus_hef.jpg,Cydistomyia_abavus,Tabanidae,Cydistomyia
480d0875-c281-416e-bf3c-76ade55822df,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00013550_Myopa_longipilis_hef.jpg,Myopa_longipilis,Conopidae,Myopa
61a43216-beb6-40eb-af55-349553fc5221,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00013113_Cheilosia_capillata_hef.jpg,Cheilosia_capillata,Syrphidae,Cheilosia
340f634d-77cf-464c-a856-5894868a501b,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00030554_Tabanus_obumbratus_hef.jpg,Tabanus_obumbratus,Tabanidae,Tabanus
e57f2b7e-828d-47d4-8cd6-07dabe25b6f2,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00012684_Aphoebantus_cervinus_hef.jpg,Aphoebantus_cervinus,Bombyliidae,Aphoebantus
50ab24f7-a3e3-418c-b292-7c7770b8769f,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00012960_Dolichopus_funditor_hef.jpg,Dolichopus_funditor,Dolichopodidae,Dolichopus
756c6aca-1211-48f2-85da-9b93d7cd38b2,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00012723_Sparnopolius_brevicornis_hef.jpg,Sparnopolius_brevicornis,Bombyliidae,Sparnopolius
d754fb2f-45db-495d-884d-1b7a54752baa,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00603802_Epistrophe_xanthostoma_hef.jpg,Epistrophe_xanthostoma,Syrphidae,Epistrophe
b1e8efb8-1259-466e-b8ad-a5478d9ce946,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00001174_Platypalpus_lateralis_hef.jpg,Platypalpus_lateralis,Empididae,Platypalpus
4b8167a4-48eb-4297-b7d5-97400ddc7751,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00004042_Tabanus_vivax_hef.jpg,Tabanus_vivax,Tabanidae,Tabanus
5355961e-a7f9-43d9-b467-77db905b620b,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00012747_Ospriocerus_eutrophus_hef.jpg,Ospriocerus_eutrophus,Asilidae,Ospriocerus
9def454a-252e-416d-9274-b8f4d1007244,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00013139_Mesograpta_poecilogastrus_hef.jpg,Mesograpta_poecilogastrus,Syrphidae,Mesograpta
dfd17ad8-0394-4e30-bcb4-748081338f0a,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00030250_Dicladocera_mutata_hef.jpg,Dicladocera_mutata,Tabanidae,Dicladocera
7b62bb96-f762-47e1-8252-0c637a4e6104,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00013560_Pipunculus_appendiculatus_hef.jpg,Pipunculus_appendiculatus,Pipunculidae,Pipunculus
bdf04266-3b85-4ee8-bbb8-e57c86aa86d9,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00012668_Anthrax_faustina_hef.jpg,Anthrax_faustina,Bombyliidae,Anthrax
2548b887-383d-4378-b71a-ef851fb5f3e8,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00603866_Syrphus_torvus_hef.jpg,Syrphus_torvus,Syrphidae,Syrphus
928d0821-be6d-4f67-9111-e98eb75e46cf,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00004061_Criorhina_armillata_hef.jpg,Criorhina_armillata,Syrphidae,Criorhina
e95d1484-0557-40c5-a686-a73449f0bb65,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00001178_Platypalpus_mesogrammus_hef.jpg,Platypalpus_mesogrammus,Empididae,Platypalpus
ba38d128-3aac-4f14-8698-1622ae076f57,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00012727_Toxophora_virgata_hef.jpg,Toxophora_virgata,Bombyliidae,Toxophora
acf51800-66ab-4ab3-a267-0718edf2d696,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00007658_Microdon_abnormis_hef.jpg,Microdon_abnormis,Syrphidae,Microdon
fce833da-f059-4417-819a-66301951cf6e,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00007609_Hydrophorus_gratiosus_hef.jpg,Hydrophorus_gratiosus,Dolichopodidae,Hydrophorus
554fc4d8-00ca-408a-8b39-5571d18c0582,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00030247_Dichelacera_hartmanni_hef.jpg,Dichelacera_hartmanni,Tabanidae,Dichelacera
37d5d366-ccc4-4525-8d4e-45692588d723,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00012546_Statiomys_discalis_hef.jpg,Statiomys_discalis,Stratiomyidae,Statiomys
d302c643-29ec-4b31-8cde-701c35a3154d,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00026021_Microdon_bruesi_hef.jpg,Microdon_bruesi,Syrphidae,Microdon
772a1b10-f77d-4006-938b-cd9ffd7e54da,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00603867_Syrphus_vitripennis_hef.jpg,Syrphus_vitripennis,Syrphidae,Syrphus
f6eb6e1e-5f20-4aa7-a41a-41aecf5463d0,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00001133_Rhamphomyia_umbrosa_hef.jpg,Rhamphomyia_umbrosa,Empididae,Rhamphomyia
7698eb1f-670b-4ccf-9f5e-f8ef6adf1ad3,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00012705_Phthiria_sulphurea_hef.jpg,Phthiria_sulphurea,Bombyliidae,Phthiria
2a21153f-d227-43b8-9cf4-77ae254d11d3,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00012829_Clavator_sabulonum_hef.jpg,Clavator_sabulonum,Asilidae,Clavator
b5e7e54c-2709-4e58-a6b8-114423b26f74,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00012709_Phthiria_scolpax_hef.jpg,Phthiria_scolpax,Bombyliidae,Phthiria
e64cde97-daf0-434d-ba45-3adfe2202647,http://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00012708_Phthinia_egerminans_hef.jpg,Phthinia_egerminans,Bombyliidae,Phthiria
